1º Atleta, 297 Pontos, 67º Colocado
2º Atleta, 320 Pontos, 65º Colocado
3º Atleta, 880 Pontos, 11º Colocado
4º Atleta, 612 Pontos, 39º Colocado
5º Atleta, 900 Pontos, 8º Colocado
6º Atleta, 118 Pontos, 85º Colocado
7º Atleta, 843 Pontos, 14º Colocado
8º Atleta, 452 Pontos, 52º Colocado
9º Atleta, 572 Pontos, 41º Colocado
10º Atleta, 551 Pontos, 43º Colocado
11º Atleta, 54 Pontos, 89º Colocado
12º Atleta, 67 Pontos, 88º Colocado
13º Atleta, 172 Pontos, 80º Colocado
14º Atleta, 806 Pontos, 18º Colocado
15º Atleta, 295 Pontos, 68º Colocado
16º Atleta, 236 Pontos, 75º Colocado
17º Atleta, 504 Pontos, 47º Colocado
18º Atleta, 772 Pontos, 23º Colocado
19º Atleta, 611 Pontos, 40º Colocado
20º Atleta, 879 Pontos, 12º Colocado
21º Atleta, 468 Pontos, 49º Colocado
22º Atleta, 328 Pontos, 64º Colocado
23º Atleta, 880 Pontos, 11º Colocado
24º Atleta, 540 Pontos, 45º Colocado
25º Atleta, 784 Pontos, 22º Colocado
26º Atleta, 189 Pontos, 79º Colocado
27º Atleta, 676 Pontos, 30º Colocado
28º Atleta, 732 Pontos, 29º Colocado
29º Atleta, 350 Pontos, 62º Colocado
30º Atleta, 666 Pontos, 32º Colocado
31º Atleta, 30 Pontos, 91º Colocado
32º Atleta, 647 Pontos, 35º Colocado
33º Atleta, 338 Pontos, 63º Colocado
34º Atleta, 910 Pontos, 6º Colocado
35º Atleta, 612 Pontos, 39º Colocado
36º Atleta, 238 Pontos, 74º Colocado
37º Atleta, 381 Pontos, 59º Colocado
38º Atleta, 455 Pontos, 51º Colocado
39º Atleta, 42 Pontos, 90º Colocado
40º Atleta, 953 Pontos, 2º Colocado
41º Atleta, 359 Pontos, 61º Colocado
42º Atleta, 96 Pontos, 86º Colocado
43º Atleta, 372 Pontos, 60º Colocado
44º Atleta, 883 Pontos, 10º Colocado
45º Atleta, 254 Pontos, 73º Colocado
46º Atleta, 667 Pontos, 31º Colocado
47º Atleta, 119 Pontos, 84º Colocado
48º Atleta, 759 Pontos, 26º Colocado
49º Atleta, 791 Pontos, 21º Colocado
50º Atleta, 83 Pontos, 87º Colocado
51º Atleta, 638 Pontos, 37º Colocado
52º Atleta, 611 Pontos, 40º Colocado
53º Atleta, 763 Pontos, 24º Colocado
54º Atleta, 870 Pontos, 13º Colocado
55º Atleta, 152 Pontos, 82º Colocado
56º Atleta, 547 Pontos, 44º Colocado
57º Atleta, 412 Pontos, 56º Colocado
58º Atleta, 828 Pontos, 17º Colocado
59º Atleta, 279 Pontos, 69º Colocado
60º Atleta, 762 Pontos, 25º Colocado
61º Atleta, 494 Pontos, 48º Colocado
62º Atleta, 661 Pontos, 33º Colocado
63º Atleta, 409 Pontos, 57º Colocado
64º Atleta, 832 Pontos, 15º Colocado
65º Atleta, 924 Pontos, 4º Colocado
66º Atleta, 21 Pontos, 92º Colocado
67º Atleta, 423 Pontos, 54º Colocado
68º Atleta, 305 Pontos, 66º Colocado
69º Atleta, 829 Pontos, 16º Colocado
70º Atleta, 465 Pontos, 50º Colocado
71º Atleta, 258 Pontos, 72º Colocado
72º Atleta, 540 Pontos, 45º Colocado
73º Atleta, 914 Pontos, 5º Colocado
74º Atleta, 631 Pontos, 38º Colocado
75º Atleta, 423 Pontos, 54º Colocado
76º Atleta, 168 Pontos, 81º Colocado
77º Atleta, 650 Pontos, 34º Colocado
78º Atleta, 895 Pontos, 9º Colocado
79º Atleta, 279 Pontos, 69º Colocado
80º Atleta, 794 Pontos, 20º Colocado
81º Atleta, 978 Pontos, 1º Colocado
82º Atleta, 270 Pontos, 71º Colocado
83º Atleta, 405 Pontos, 58º Colocado
84º Atleta, 741 Pontos, 27º Colocado
85º Atleta, 140 Pontos, 83º Colocado
86º Atleta, 557 Pontos, 42º Colocado
87º Atleta, 641 Pontos, 36º Colocado
88º Atleta, 904 Pontos, 7º Colocado
89º Atleta, 737 Pontos, 28º Colocado
90º Atleta, 272 Pontos, 70º Colocado
91º Atleta, 18 Pontos, 93º Colocado
92º Atleta, 231 Pontos, 76º Colocado
93º Atleta, 934 Pontos, 3º Colocado
94º Atleta, 428 Pontos, 53º Colocado
95º Atleta, 416 Pontos, 55º Colocado
96º Atleta, 210 Pontos, 77º Colocado
97º Atleta, 801 Pontos, 19º Colocado
98º Atleta, 191 Pontos, 78º Colocado
99º Atleta, 515 Pontos, 46º Colocado
